,city,created_at_format,total_debt_total
452,Санкт-Петербург,2021-09-23,1405.92
453,Москва,2021-09-24,6452.04
454,Москва,2021-09-25,1209.6
455,Москва,2021-09-26,5530.44
456,Москва,2021-09-27,4089.6
457,Москва,2021-09-28,4089.6
458,Москва,2021-09-29,5529.6
459,Москва,2021-09-30,2651.28
460,Москва,2021-10-01,6739.2
461,Москва,2021-10-02,5299.2
462,Москва,2021-10-03,5529.6
463,Москва,2021-10-04,4089.6
464,Санкт-Петербург,2021-10-04,1218.06
465,Москва,2021-10-05,2649.6
466,Москва,2021-10-06,4089.6
467,Москва,2021-10-07,1440.0
468,Москва,2021-10-08,4089.6
469,Москва,2021-10-09,4089.6
470,Москва,2021-10-10,10771.2
471,Москва,2021-10-11,4089.6
472,Тольятти,2021-10-11,471.38
473,Москва,2021-10-12,9331.2
474,Самара,2021-10-12,1353.6
475,Москва,2021-10-13,6451.2
476,Самара,2021-10-13,1353.6
477,Москва,2021-10-14,10252.8
478,Самара,2021-10-14,2707.2
479,Москва,2021-10-15,8812.8
480,Самара,2021-10-15,2707.2
481,Москва,2021-10-16,10252.8
482,Самара,2021-10-16,2707.2
483,Москва,2021-10-17,10252.8
484,Самара,2021-10-17,2707.2
485,Тольятти,2021-10-17,1310.4
486,Москва,2021-10-18,7603.2
487,Самара,2021-10-18,2707.2
488,Москва,2021-10-19,12326.4
489,Самара,2021-10-19,1353.6
490,Тольятти,2021-10-19,1112.93
491,Москва,2021-10-20,16187.6
492,Самара,2021-10-20,2707.2
493,Москва,2021-10-21,14976.0
494,Самара,2021-10-21,4060.8
495,Москва,2021-10-22,13536.0
496,Самара,2021-10-22,2707.2
497,Москва,2021-10-23,13219.2
498,Самара,2021-10-23,2707.2
499,Москва,2021-10-24,17395.2
500,Самара,2021-10-24,2707.2
501,Москва,2021-10-25,15638.4
502,Самара,2021-10-25,1353.6
503,Москва,2021-10-26,14745.6
504,Самара,2021-10-26,1353.6
505,Москва,2021-10-27,16779.94
506,Самара,2021-10-27,1353.6
507,Москва,2021-10-28,11719.98
508,Самара,2021-10-28,2707.2
509,Санкт-Петербург,2021-10-28,1454.4
510,Москва,2021-10-29,9792.0
511,Самара,2021-10-29,2707.2
512,Санкт-Петербург,2021-10-29,1454.4
513,Москва,2021-10-30,16560.0
514,Санкт-Петербург,2021-10-30,1454.4
515,Москва,2021-10-31,12700.8
516,Санкт-Петербург,2021-10-31,1454.4
517,Москва,2021-11-01,13910.4
518,Санкт-Петербург,2021-11-01,1454.4
519,Москва,2021-11-02,12700.8
520,Самара,2021-11-02,2707.2
521,Санкт-Петербург,2021-11-02,1454.4
522,Москва,2021-11-03,14140.8
523,Самара,2021-11-03,2707.2
524,Санкт-Петербург,2021-11-03,1454.4
525,Москва,2021-11-04,10108.8
526,Самара,2021-11-04,2707.2
527,Москва,2021-11-05,12700.8
528,Самара,2021-11-05,4060.8
529,Москва,2021-11-06,11548.8
530,Самара,2021-11-06,2707.2
531,Тольятти,2021-11-06,1310.4
532,Москва,2021-11-07,10339.2
533,Самара,2021-11-07,1353.6
534,Тольятти,2021-11-07,1310.4
535,Москва,2021-11-08,10339.2
536,Самара,2021-11-08,1353.6
537,Санкт-Петербург,2021-11-08,1351.38
538,Тольятти,2021-11-08,1310.4
539,Москва,2021-11-09,6537.6
540,Самара,2021-11-09,1353.6
541,Тольятти,2021-11-09,1310.4
542,Москва,2021-11-10,7977.6
543,Самара,2021-11-10,2762.66
544,Тольятти,2021-11-10,1310.4
545,Москва,2021-11-11,5335.2
546,Москва,2021-11-12,11779.2
547,Самара,2021-11-12,1277.46
548,Москва,2021-11-13,11779.2
549,Самара,2021-11-13,1350.78
550,Москва,2021-11-14,11548.8
551,Самара,2021-11-14,1350.78
552,Москва,2021-11-15,11569.88
553,Тольятти,2021-11-15,2319.6
554,Москва,2021-11-16,7430.4
555,Самара,2021-11-16,1350.78
556,Москва,2021-11-17,6220.8
557,Самара,2021-11-17,1350.78
558,Москва,2021-11-18,9792.0
559,Самара,2021-11-18,1350.78
560,Москва,2021-11-19,10063.32
561,Москва,2021-11-20,9792.0
562,Самара,2021-11-20,1350.78
563,Москва,2021-11-21,9792.0
564,Самара,2021-11-21,1350.78
565,Москва,2021-11-22,7372.8
566,Москва,2021-11-23,8582.4
567,Москва,2021-11-24,9016.72
568,Москва,2021-11-25,6220.8
569,Тольятти,2021-11-25,1183.58
570,Москва,2021-11-26,7430.4
571,Москва,2021-11-27,7430.4
572,Москва,2021-11-28,7430.4
573,Москва,2021-11-29,7430.4
574,Москва,2021-11-30,7430.4
575,Москва,2021-12-01,7023.12
576,Тольятти,2021-12-01,308.41
577,Москва,2021-12-02,3891.72
578,Москва,2021-12-03,2419.2
579,Москва,2021-12-04,1209.6
580,Москва,2021-12-05,1209.6
581,Самара,2021-12-05,1316.64
582,Москва,2021-12-06,3628.8
583,Самара,2021-12-06,1177.23
584,Москва,2021-12-07,1209.6
585,Самара,2021-12-07,1214.19
586,Москва,2021-12-08,1209.6
587,Самара,2021-12-08,1214.19
588,Москва,2021-12-09,1209.6
589,Самара,2021-12-09,1214.19
590,Москва,2021-12-10,2651.28
591,Самара,2021-12-10,1214.19
592,Москва,2021-12-11,3857.2
593,Москва,2021-12-12,2419.2
594,Тольятти,2021-12-12,1310.4
595,Москва,2021-12-13,4089.6
596,Тольятти,2021-12-13,1310.4
597,Москва,2021-12-14,1209.6
598,Тольятти,2021-12-14,1009.19
599,Москва,2021-12-15,3859.2
600,Москва,2021-12-16,2267.16
601,Москва,2021-12-17,5250.96
602,Москва,2021-12-18,2606.4
603,Москва,2021-12-19,5486.4
604,Москва,2021-12-20,2606.4
605,Москва,2021-12-21,2606.4
606,Тольятти,2021-12-21,1310.4
607,Москва,2021-12-22,3816.0
608,Тольятти,2021-12-22,1310.4
609,Москва,2021-12-23,2606.4
610,Тольятти,2021-12-23,1310.4
611,Москва,2021-12-24,4964.36
612,Тольятти,2021-12-24,1310.4
613,Москва,2021-12-25,4046.4
614,Тольятти,2021-12-25,2620.8
615,Москва,2021-12-26,4046.4
616,Тольятти,2021-12-26,1310.4
617,Москва,2021-12-27,4968.0
618,Тольятти,2021-12-27,2620.8
619,Москва,2021-12-28,3816.0
620,Тольятти,2021-12-28,2621.71
621,Москва,2021-12-29,6692.0
622,Тольятти,2021-12-29,1310.4
623,Москва,2021-12-30,2606.4
624,Самара,2021-12-30,1353.6
625,Тольятти,2021-12-30,2620.8
626,Москва,2021-12-31,6696.0
627,Самара,2021-12-31,1353.6
628,Тольятти,2021-12-31,1310.4
629,Москва,2022-01-01,5803.2
630,Самара,2022-01-01,1353.6
631,Москва,2022-01-02,4363.2
632,Самара,2022-01-02,1353.6
633,Тольятти,2022-01-02,1310.4
634,Москва,2022-01-03,8452.8
635,Самара,2022-01-03,1353.6
636,Тольятти,2022-01-03,2620.8
637,Москва,2022-01-04,10133.2
638,Самара,2022-01-04,1353.6
639,Тольятти,2022-01-04,3852.94
640,Москва,2022-01-05,11593.2
641,Самара,2022-01-05,2707.2
642,Тольятти,2022-01-05,2620.8
643,Москва,2022-01-06,15903.2
644,Самара,2022-01-06,1353.6
645,Тольятти,2022-01-06,1310.4
646,Москва,2022-01-07,13211.8
647,Самара,2022-01-07,1353.6
648,Москва,2022-01-08,11593.2
649,Самара,2022-01-08,2707.2
650,Москва,2022-01-09,10153.2
651,Самара,2022-01-09,1353.6
652,Тольятти,2022-01-09,1310.4
653,Москва,2022-01-10,11046.0
654,Самара,2022-01-10,1353.6
655,Тольятти,2022-01-10,2615.34
656,Москва,2022-01-11,6956.4
657,Самара,2022-01-11,1353.6
658,Москва,2022-01-12,13053.2
659,Самара,2022-01-12,1353.6
