,city,created_at_format,total_debt_total
657,Тольятти,2021-04-03,14438.28
658,Москва,2021-04-04,24639.8
659,Самара,2021-04-04,8770.47
660,Санкт-Петербург,2021-04-04,7272.0
661,Тольятти,2021-04-04,22426.32
662,Москва,2021-04-05,26106.4
663,Самара,2021-04-05,12514.46
664,Санкт-Петербург,2021-04-05,6309.22
665,Тольятти,2021-04-05,12499.2
666,Москва,2021-04-06,29724.6
667,Самара,2021-04-06,13760.31
668,Санкт-Петербург,2021-04-06,5817.6
669,Тольятти,2021-04-06,13553.4
670,Москва,2021-04-07,32880.0
671,Самара,2021-04-07,2505.6
672,Санкт-Петербург,2021-04-07,8726.4
673,Тольятти,2021-04-07,20767.67
674,Москва,2021-04-08,1440.0
675,Москва,2021-04-09,68919.24
676,Самара,2021-04-09,38991.45
677,Санкт-Петербург,2021-04-09,12312.31
678,Тольятти,2021-04-09,54510.61
679,Москва,2021-04-10,39764.66
680,Самара,2021-04-10,6178.74
681,Санкт-Петербург,2021-04-10,10571.47
