,reg_t_title_ru,use_of_the_mobile_app,COUNT(DISTINCT users_transactions_car_id)
700,Самара,2020-10-26,2
701,Самара,2020-10-27,1
702,Самара,2020-10-28,1
703,Самара,2020-10-29,1
704,Самара,2020-10-30,2
705,Самара,2020-10-31,1
706,Самара,2020-11-01,2
707,Самара,2020-11-02,2
708,Самара,2020-11-03,2
709,Самара,2020-11-04,2
710,Самара,2020-11-05,2
711,Самара,2020-11-06,2
712,Самара,2020-11-07,2
713,Самара,2020-11-08,2
714,Самара,2020-11-09,2
715,Самара,2020-11-10,2
716,Самара,2020-11-11,2
717,Самара,2020-11-12,2
718,Самара,2020-11-13,2
719,Самара,2020-11-14,1
720,Самара,2020-11-15,2
721,Самара,2020-11-16,1
722,Самара,2020-11-17,1
723,Самара,2020-11-18,2
724,Самара,2020-11-19,2
725,Самара,2020-11-20,2
726,Самара,2020-11-21,2
727,Самара,2020-11-22,2
728,Самара,2020-11-23,2
729,Самара,2020-11-24,2
730,Самара,2020-11-25,2
731,Самара,2020-11-26,2
732,Самара,2020-11-27,2
733,Самара,2020-11-28,2
734,Самара,2020-11-29,2
735,Самара,2020-11-30,2
736,Самара,2020-12-01,2
737,Самара,2020-12-02,2
738,Самара,2020-12-03,1
739,Самара,2020-12-04,2
740,Самара,2020-12-05,1
741,Самара,2020-12-06,2
742,Самара,2020-12-07,1
743,Самара,2020-12-08,1
744,Самара,2020-12-09,1
745,Самара,2020-12-10,1
746,Самара,2020-12-11,1
747,Самара,2020-12-12,1
748,Самара,2020-12-13,1
749,Самара,2020-12-14,2
750,Самара,2020-12-15,1
751,Самара,2020-12-16,2
752,Самара,2020-12-17,3
753,Самара,2020-12-18,1
754,Самара,2020-12-19,1
755,Самара,2020-12-20,2
756,Самара,2020-12-21,2
757,Самара,2020-12-22,2
758,Самара,2020-12-23,2
759,Самара,2020-12-24,2
760,Самара,2020-12-25,2
761,Самара,2020-12-26,2
762,Самара,2020-12-27,2
763,Самара,2020-12-28,2
764,Самара,2020-12-29,2
765,Самара,2020-12-30,2
766,Самара,2020-12-31,2
767,Самара,2021-01-01,1
768,Самара,2021-01-02,1
769,Самара,2021-01-03,1
770,Самара,2021-01-04,2
771,Самара,2021-01-05,1
772,Самара,2021-01-06,2
773,Самара,2021-01-07,2
774,Самара,2021-01-08,2
775,Самара,2021-01-09,2
776,Самара,2021-01-10,1
777,Самара,2021-01-11,2
778,Самара,2021-01-12,1
779,Самара,2021-01-13,2
780,Самара,2021-01-14,2
781,Самара,2021-01-15,2
782,Самара,2021-01-16,2
783,Самара,2021-01-17,2
784,Самара,2021-01-18,2
785,Самара,2021-01-19,2
786,Самара,2021-01-20,2
787,Самара,2021-01-21,2
788,Самара,2021-01-22,2
789,Самара,2021-01-23,2
790,Самара,2021-01-24,2
791,Самара,2021-01-25,2
792,Самара,2021-01-26,2
793,Самара,2021-01-27,2
794,Самара,2021-01-28,2
795,Самара,2021-01-29,2
796,Самара,2021-01-30,2
797,Самара,2021-01-31,2
798,Самара,2021-02-01,2
799,Самара,2021-02-02,2
800,Самара,2021-02-03,2
801,Самара,2021-02-04,2
802,Самара,2021-02-05,4
803,Самара,2021-02-06,2
804,Самара,2021-02-07,4
805,Самара,2021-02-08,5
806,Самара,2021-02-09,8
807,Самара,2021-02-10,5
808,Самара,2021-02-11,10
809,Самара,2021-02-12,9
810,Самара,2021-02-13,9
811,Самара,2021-02-14,10
812,Самара,2021-02-15,10
813,Самара,2021-02-16,10
814,Самара,2021-02-17,8
815,Самара,2021-02-18,12
816,Самара,2021-02-19,14
817,Самара,2021-02-20,14
818,Самара,2021-02-21,14
819,Самара,2021-02-22,17
820,Самара,2021-02-23,16
821,Самара,2021-02-24,16
822,Самара,2021-02-25,21
823,Самара,2021-02-26,21
824,Самара,2021-02-27,21
825,Самара,2021-02-28,22
826,Самара,2021-03-01,23
827,Самара,2021-03-02,25
828,Самара,2021-03-03,24
829,Самара,2021-03-04,26
830,Самара,2021-03-05,24
831,Самара,2021-03-06,25
832,Самара,2021-03-07,24
833,Самара,2021-03-08,25
834,Самара,2021-03-09,26
835,Самара,2021-03-10,26
836,Самара,2021-03-11,28
837,Самара,2021-03-12,27
838,Самара,2021-03-13,26
839,Самара,2021-03-14,26
840,Самара,2021-03-15,28
841,Самара,2021-03-16,29
842,Самара,2021-03-17,28
843,Самара,2021-03-18,29
844,Самара,2021-03-19,31
845,Самара,2021-03-20,31
846,Самара,2021-03-21,30
847,Самара,2021-03-22,31
848,Самара,2021-03-23,29
849,Самара,2021-03-24,31
850,Самара,2021-03-25,31
851,Самара,2021-03-26,33
852,Самара,2021-03-27,33
853,Самара,2021-03-28,33
854,Самара,2021-03-29,36
855,Самара,2021-03-30,35
856,Самара,2021-03-31,35
857,Самара,2021-04-01,34
858,Самара,2021-04-02,34
859,Самара,2021-04-03,34
860,Самара,2021-04-04,34
861,Самара,2021-04-05,34
862,Самара,2021-04-06,34
863,Самара,2021-04-07,33
864,Самара,2021-04-09,34
865,Самара,2021-04-10,32
866,Самара,2021-04-11,33
867,Самара,2021-04-12,33
868,Самара,2021-04-13,29
869,Самара,2021-04-14,33
870,Самара,2021-04-15,33
871,Самара,2021-04-16,33
872,Самара,2021-04-17,31
873,Самара,2021-04-18,31
874,Самара,2021-04-19,33
875,Самара,2021-04-20,32
876,Самара,2021-04-21,32
877,Самара,2021-04-22,32
878,Самара,2021-04-23,35
879,Самара,2021-04-24,33
880,Самара,2021-04-25,30
881,Самара,2021-04-26,34
882,Самара,2021-04-27,30
883,Самара,2021-04-28,31
884,Самара,2021-04-29,30
885,Самара,2021-04-30,31
886,Самара,2021-05-01,31
887,Самара,2021-05-02,31
888,Самара,2021-05-03,33
889,Самара,2021-05-04,33
890,Самара,2021-05-05,33
891,Самара,2021-05-06,35
892,Самара,2021-05-07,35
893,Самара,2021-05-08,35
894,Самара,2021-05-09,33
895,Самара,2021-05-10,33
